Weeks,Adds,Subs,Date,Year
1546732800,4342,-3512,06/01/2019,2019
1547337600,5616,-2394,13/01/2019,2019
1547942400,6256,-3377,20/01/2019,2019
1548547200,5803,-3201,27/01/2019,2019
1549152000,652,-322,03/02/2019,2019
1549756800,2936,-1238,10/02/2019,2019
1550361600,3755,-1367,17/02/2019,2019
1550966400,5303,-2799,24/02/2019,2019
1551571200,6166,-2199,03/03/2019,2019
1552176000,6855,-4238,10/03/2019,2019
1552780800,6916,-3565,17/03/2019,2019
1553385600,6171,-2865,24/03/2019,2019
1553990400,4167,-2709,31/03/2019,2019
1554595200,4409,-1598,07/04/2019,2019
1555200000,1370,-369,14/04/2019,2019
1555804800,2471,-932,21/04/2019,2019
1556409600,1898,-1430,28/04/2019,2019
1557014400,3735,-973,05/05/2019,2019
1557619200,139743,-69319,12/05/2019,2019
1558224000,18499,-3374,19/05/2019,2019
1558828800,71619,-69476,26/05/2019,2019
1559433600,74234,-62375,02/06/2019,2019
1560038400,7104,-1875,09/06/2019,2019
1560643200,5016,-1992,16/06/2019,2019
1561248000,5178,-2120,23/06/2019,2019
1561852800,5180,-2196,30/06/2019,2019
1562457600,11431,-1615,07/07/2019,2019
1563062400,14452,-1131,14/07/2019,2019
1563667200,5753,-632,21/07/2019,2019
1564272000,15052,-2824,28/07/2019,2019
1564876800,7799,-3114,04/08/2019,2019
1565481600,5596,-1350,11/08/2019,2019
1566086400,12822,-3154,18/08/2019,2019
1566691200,8910,-3045,25/08/2019,2019
1567296000,9265,-3360,01/09/2019,2019
1567900800,16831,-16045,08/09/2019,2019
1568505600,8929,-4507,15/09/2019,2019
1569110400,40998,-38529,22/09/2019,2019
1569715200,10674,-5068,29/09/2019,2019
1570320000,4877,-1604,06/10/2019,2019
1570924800,11587,-4778,13/10/2019,2019
1571529600,7012,-2137,20/10/2019,2019
1572134400,11635,-2783,27/10/2019,2019
1572739200,10651,-3404,03/11/2019,2019
1573344000,8587,-3829,10/11/2019,2019
1573948800,151028,-148488,17/11/2019,2019
1574553600,6887,-3466,24/11/2019,2019
1575158400,7808,-4260,01/12/2019,2019
1575763200,5199,-3192,08/12/2019,2019
1576368000,3442,-2187,15/12/2019,2019
1576972800,7572,-3276,22/12/2019,2019
1577577600,5722,-4517,29/12/2019,2019
1578182400,7398,-3316,05/01/2020,2020
1578787200,14247,-6619,12/01/2020,2020
1579392000,30883,-29071,19/01/2020,2020
1579996800,9484,-3202,26/01/2020,2020
1580601600,2528,-1776,02/02/2020,2020
1581206400,8239,-4632,09/02/2020,2020
1581811200,4798,-4145,16/02/2020,2020
1582416000,4388,-2145,23/02/2020,2020
1583020800,5273,-2976,01/03/2020,2020
1583625600,5334,-3981,08/03/2020,2020
1584230400,5786,-3214,15/03/2020,2020
1584835200,6929,-2693,22/03/2020,2020
1585440000,3855,-1460,29/03/2020,2020
1586044800,11722,-2399,05/04/2020,2020
1586649600,8293,-6724,12/04/2020,2020
1587254400,7870,-3764,19/04/2020,2020
1587859200,7082,-4164,26/04/2020,2020
1588464000,9119,-6979,03/05/2020,2020
1589068800,4977,-4054,10/05/2020,2020
1589673600,5253,-2202,17/05/2020,2020
1590278400,5579,-2817,24/05/2020,2020
1590883200,3677,-1352,31/05/2020,2020
1591488000,3648,-2070,07/06/2020,2020
1592092800,4981,-2235,14/06/2020,2020
1592697600,1400,-624,21/06/2020,2020
1593302400,2753,-1491,28/06/2020,2020
1593907200,3520,-1055,05/07/2020,2020
1594512000,10143,-7723,12/07/2020,2020
1595116800,5821,-1981,19/07/2020,2020
1595721600,8047,-4043,26/07/2020,2020
1596326400,6680,-1647,02/08/2020,2020
1596931200,5200,-1731,09/08/2020,2020
1597536000,134625,-2023,16/08/2020,2020
1598140800,6633,-12495,23/08/2020,2020
1598745600,13474,-11930,30/08/2020,2020
1599350400,4663,-1868,06/09/2020,2020
1599955200,4561,-2936,13/09/2020,2020
1600560000,17858,-2589,20/09/2020,2020
1601164800,2545,-793,27/09/2020,2020
1601769600,81409,-149437,04/10/2020,2020
1602374400,4624,-64596,11/10/2020,2020
1602979200,3272,-1024,18/10/2020,2020
1603584000,9597,-6390,25/10/2020,2020
1604188800,6244,-2641,01/11/2020,2020
1604793600,9335,-3522,08/11/2020,2020
1605398400,9858,-6050,15/11/2020,2020
1606003200,8041,-3734,22/11/2020,2020
1606608000,11681,-3826,29/11/2020,2020
1607212800,3433,-1701,06/12/2020,2020
1607817600,5576,-2419,13/12/2020,2020
1608422400,7593,-2856,20/12/2020,2020
1609027200,3393,-1143,27/12/2020,2020
1609632000,13890,-11245,03/01/2021,2021
1610236800,12118,-11298,10/01/2021,2021
1610841600,3604,-1621,17/01/2021,2021
1611446400,62915,-53746,24/01/2021,2021
1612051200,4112,-2107,31/01/2021,2021
1612656000,2292,-925,07/02/2021,2021
1613260800,2518,-921,14/02/2021,2021
1613865600,6987,-2425,21/02/2021,2021
1614470400,4143,-1611,28/02/2021,2021
1615075200,3710,-2042,07/03/2021,2021
1615680000,3137,-1006,14/03/2021,2021
1616284800,8921,-4083,21/03/2021,2021
1616889600,84550,-63440,28/03/2021,2021
1617494400,66760,-4268,04/04/2021,2021
1618099200,34619,-8512,11/04/2021,2021
1618704000,7963,-3937,18/04/2021,2021
1619308800,7800,-3291,25/04/2021,2021
1619913600,24351,-20616,02/05/2021,2021
1620518400,10911,-7579,09/05/2021,2021
1621123200,21709,-15798,16/05/2021,2021
1621728000,4342,-1797,23/05/2021,2021
1622332800,21474,-2483,30/05/2021,2021
1622937600,15445,-7884,06/06/2021,2021
1623542400,14482,-13862,13/06/2021,2021
1624147200,79610,-73611,20/06/2021,2021
1624752000,16689,-7694,27/06/2021,2021
1625356800,6537,-3536,04/07/2021,2021
1625961600,10519,-2762,11/07/2021,2021
1626566400,8691,-3123,18/07/2021,2021
1627171200,7469,-4794,25/07/2021,2021
1627776000,12685,-11602,01/08/2021,2021
1628380800,12376,-8228,08/08/2021,2021
1628985600,13121,-4358,15/08/2021,2021
1629590400,3083,-1950,22/08/2021,2021
1630195200,2512,-376,29/08/2021,2021
1630800000,3611,-1103,05/09/2021,2021
1631404800,3249,-1095,12/09/2021,2021
1632009600,2827,-822,19/09/2021,2021
1632614400,6856,-2933,26/09/2021,2021
1633219200,3078,-1898,03/10/2021,2021
1633824000,8358,-5063,10/10/2021,2021
1634428800,2621,-1263,17/10/2021,2021
1635033600,6279,-2324,24/10/2021,2021
1635638400,10130,-1105,31/10/2021,2021
1636243200,17725,-11457,07/11/2021,2021
1636848000,5897,-1451,14/11/2021,2021
1637452800,3463,-2891,21/11/2021,2021
1638057600,5688,-2885,28/11/2021,2021
1638662400,3039,-1350,05/12/2021,2021
1639267200,10179,-3067,12/12/2021,2021
1639872000,2924,-2945,19/12/2021,2021
1640476800,16020,-13359,26/12/2021,2021
