User,Repo,Adds,Subs,Commits 2020,Country,Latitude,Longitude,,
fanquake,bitcoin,2127,3430,162,Australia,-24.7761086,134.755,,*Taking top 5 contributores from different repos from jan 2020 to dec 2020
geertu,Linux,119382,117681,536,Belgium,50.640281,4.6667145,,to see which country has max number of contributors
jonahwilliams,flutter,109662,93092,872,Canada,61.0666922,-107.991707,,
piinks,flutter,36919,25495,122,Canada,61.0666922,-107.991707,,
zanderso,flutter,12247,10178,88,Canada,61.0666922,-107.991707,,
nouiz,tensorflow,3230,1686,151,Canada,61.0666922,-107.991707,,
Yaooqinn,Apache,18668,74555,139,China,35.000074,104.999927,,
Cloud-fan,Apache,12829,8485,129,China,35.000074,104.999927,,
andy-shev,Linux,10299,18245,679,Finland,63.246778,25.9209164,,
a14n,flutter,56548,53612,82,france,46.603354,1.8883335,,
eps1lon,react,176,162,9,Germany,51.0834196,10.4234469,,
isarvindone,react,1347,110,13,India,22.3511148,78.6677428,,
elit-altum,react,60,6,4,India,22.3511148,78.6677428,,
deepak1556,vscode,3207,2502,78,Japan,36.5748441,139.2394179,,
ryota-murakami,react,16,18,4,Japan,36.5748441,139.2394179,,
MaxGekk,Apache,35044,18502,242,Russia,64.6863136,97.7453061,,
HyukjinKwon,Apache,21123,15967,193,South Korea,36.638392,127.696119,,
abattery,tensorflow,1863,581,188,South Korea,36.638392,127.696119,,
pontusmelke,neo4j,23728,7900,324,Sweden,59.6749712,14.5208584,,
sherfert,neo4j,46244,29083,265,Sweden,59.6749712,14.5208584,,
tinwelint,neo4j,51351,57392,213,Sweden,59.6749712,14.5208584,,
burqen,neo4j,29432,20928,172,Sweden,59.6749712,14.5208584,,
lojjs,neo4j,12184,10745,126,Sweden,59.6749712,14.5208584,,
MarcoFalke,bitcoin,13561,11622,533,Sweden,59.6749712,14.5208584,,
krzk,Linux,8257,5858,877,Switzerland,46.7985624,8.2319736,,
bpasero,vscode,151477,150348,1591,Switzerland,46.7985624,8.2319736,,
sandy081,vscode,74817,53137,1317,Switzerland,46.7985624,8.2319736,,
jnewbery,bitcoin,3370,3126,143,UK ,54.7023545,-3.2765753,,
hebasto,bitcoin,4468,3512,318,Ukraine,49.4871968,31.2718321,,
dongjoon-hyun,Apache,80668,148962,181,US,39.78373,-100.445882,,
plbossart,Linux,11325,3072,433,US,39.78373,-100.445882,,
chucklever,Linux,13353,9031,424,US,39.78373,-100.445882,,
dongcarl,bitcoin,3258,2266,202,US,39.78373,-100.445882,,
rebornix,vscode,74245,46591,1235,US,39.78373,-100.445882,,
JACKSONKEARL,vscode,11571,8087,404,US,39.78373,-100.445882,,
yjbanov,flutter,6133,1231,54,US,39.78373,-100.445882,,
sw-yx,react,5842,4576,113,US,39.78373,-100.445882,,
glzh727,tensorflow,69612,64241,356,US,39.78373,-100.445882,,
aaudiber,tensorflow,28430,11837,217,US,39.78373,-100.445882,,
yongtang,tensorflow,1863,581,188,US,39.78373,-100.445882,,
cssegisanddata,cssegisanddata,"12,476,703",9507504,3849,US,39.78373,-100.445882,,
hongry94,cssegisanddata,326,211,41,US,39.78373,-100.445882,,
edomt,covid-19-data,"87,055,043",85504873,3956,France,46.603354,1.8883335,,
lucasrodes,covid-19-data,16960530,16170387,2553,Spain,39.3260685,-4.8379791,,
danielgavrilov,covid-19-data,"1,969,515",1882438,214,UK,54.7023545,-3.2765753,,
