Weeks,Adds,Subs,Date,Year
1546732800,0,0,2019-01-06,2019
1547337600,0,0,2019-01-13,2019
1547942400,0,0,2019-01-20,2019
1548547200,0,0,2019-01-27,2019
1549152000,0,0,2019-02-03,2019
1549756800,0,0,2019-02-10,2019
1550361600,0,0,2019-02-17,2019
1550966400,7,-2,2019-02-24,2019
1551571200,0,0,2019-03-03,2019
1552176000,0,0,2019-03-10,2019
1552780800,0,0,2019-03-17,2019
1553385600,0,0,2019-03-24,2019
1553990400,0,0,2019-03-31,2019
1554595200,0,0,2019-04-07,2019
1555200000,0,0,2019-04-14,2019
1555804800,26,0,2019-04-21,2019
1556409600,50,0,2019-04-28,2019
1557014400,443,-23,2019-05-05,2019
1557619200,0,0,2019-05-12,2019
1558224000,0,0,2019-05-19,2019
1558828800,0,0,2019-05-26,2019
1559433600,0,0,2019-06-02,2019
1560038400,0,0,2019-06-09,2019
1560643200,0,0,2019-06-16,2019
1561248000,145,-145,2019-06-23,2019
1561852800,145,0,2019-06-30,2019
1562457600,0,0,2019-07-07,2019
1563062400,0,0,2019-07-14,2019
1563667200,0,0,2019-07-21,2019
1564272000,0,0,2019-07-28,2019
1564876800,8,-7,2019-08-04,2019
1565481600,0,0,2019-08-11,2019
1566086400,0,0,2019-08-18,2019
1566691200,0,0,2019-08-25,2019
1567296000,0,0,2019-09-01,2019
1567900800,23,-2,2019-09-08,2019
1568505600,0,0,2019-09-15,2019
1569110400,0,0,2019-09-22,2019
1569715200,38,0,2019-09-29,2019
1570320000,0,0,2019-10-06,2019
1570924800,0,0,2019-10-13,2019
1571529600,18,0,2019-10-20,2019
1572134400,0,0,2019-10-27,2019
1572739200,0,0,2019-11-03,2019
1573344000,0,0,2019-11-10,2019
1573948800,0,0,2019-11-17,2019
1574553600,0,0,2019-11-24,2019
1575158400,0,0,2019-12-01,2019
1575763200,0,0,2019-12-08,2019
1576368000,0,0,2019-12-15,2019
1576972800,0,0,2019-12-22,2019
1577577600,0,0,2019-12-29,2019
1578182400,164,-2,2020-01-05,2020
1578787200,0,0,2020-01-12,2020
1579392000,0,0,2020-01-19,2020
1579996800,4,-6,2020-01-26,2020
1580601600,0,0,2020-02-02,2020
1581206400,0,0,2020-02-09,2020
1581811200,0,0,2020-02-16,2020
1582416000,0,0,2020-02-23,2020
1583020800,0,0,2020-03-01,2020
1583625600,0,0,2020-03-08,2020
1584230400,0,0,2020-03-15,2020
1584835200,0,0,2020-03-22,2020
1585440000,0,0,2020-03-29,2020
1586044800,0,0,2020-04-05,2020
1586649600,197,-1,2020-04-12,2020
1587254400,156,-78,2020-04-19,2020
1587859200,206,-8,2020-04-26,2020
1588464000,8768,-7873,2020-05-03,2020
1589068800,225,-205,2020-05-10,2020
1589673600,1164,-1456,2020-05-17,2020
1590278400,15,-3,2020-05-24,2020
1590883200,0,0,2020-05-31,2020
1591488000,1,-2,2020-06-07,2020
1592092800,334,-223,2020-06-14,2020
1592697600,460,-73,2020-06-21,2020
1593302400,419,-115,2020-06-28,2020
1593907200,469,0,2020-07-05,2020
1594512000,47,0,2020-07-12,2020
1595116800,169,-1,2020-07-19,2020
1595721600,211,-81,2020-07-26,2020
1596326400,42,-1,2020-08-02,2020
1596931200,186,-80,2020-08-09,2020
1597536000,576,-2,2020-08-16,2020
1598140800,1,-1,2020-08-23,2020
1598745600,0,0,2020-08-30,2020
1599350400,27,0,2020-09-06,2020
1599955200,1,-1,2020-09-13,2020
1600560000,0,0,2020-09-20,2020
1601164800,1200,-216,2020-09-27,2020
1601769600,10718,-664,2020-10-04,2020
1602374400,1911,-641,2020-10-11,2020
1602979200,286,-173,2020-10-18,2020
1603584000,5015,-671,2020-10-25,2020
1604188800,140,-45,2020-11-01,2020
1604793600,0,0,2020-11-08,2020
1605398400,0,0,2020-11-15,2020
1606003200,72,-34,2020-11-22,2020
1606608000,0,0,2020-11-29,2020
1607212800,0,0,2020-12-06,2020
1607817600,64,-22,2020-12-13,2020
1608422400,139,-53,2020-12-20,2020
1609027200,14,-14,2020-12-27,2020
1609632000,49,-9,2021-01-03,2021
1610236800,1,-1,2021-01-10,2021
1610841600,280,-155,2021-01-17,2021
1611446400,50,-35,2021-01-24,2021
1612051200,24,-17,2021-01-31,2021
1612656000,63,-50,2021-02-07,2021
1613260800,107,-24,2021-02-14,2021
1613865600,159,-10,2021-02-21,2021
1614470400,119,-3,2021-02-28,2021
1615075200,2,-2,2021-03-07,2021
1615680000,192,0,2021-03-14,2021
1616284800,0,0,2021-03-21,2021
1616889600,219,-5,2021-03-28,2021
1617494400,0,0,2021-04-04,2021
1618099200,199,-15,2021-04-11,2021
1618704000,0,0,2021-04-18,2021
1619308800,207,0,2021-04-25,2021
1619913600,189,-75,2021-05-02,2021
1620518400,15,-14,2021-05-09,2021
1621123200,357,-246,2021-05-16,2021
1621728000,244,-56,2021-05-23,2021
1622332800,7,-6,2021-05-30,2021
1622937600,56,-28,2021-06-06,2021
1623542400,12,-12,2021-06-13,2021
1624147200,0,0,2021-06-20,2021
1624752000,85,-6,2021-06-27,2021
1625356800,189,-24,2021-07-04,2021
1625961600,55,0,2021-07-11,2021
1626566400,625,-192,2021-07-18,2021
1627171200,47,-7,2021-07-25,2021
1627776000,22,-15,2021-08-01,2021
1628380800,126,-124,2021-08-08,2021
1628985600,318,-49,2021-08-15,2021
1629590400,519,-229,2021-08-22,2021
1630195200,154,-56,2021-08-29,2021
1630800000,190,-10,2021-09-05,2021
1631404800,12490,-7,2021-09-12,2021
1632009600,299,-18,2021-09-19,2021
1632614400,572,-12552,2021-09-26,2021
1633219200,29474,-27454,2021-10-03,2021
1633824000,1879,-1578,2021-10-10,2021
1634428800,24506,-15263,2021-10-17,2021
1635033600,1354,-12252,2021-10-24,2021
1635638400,338,-4,2021-10-31,2021
1636243200,1,-1,2021-11-07,2021
1636848000,151,-13,2021-11-14,2021
1637452800,302,-147,2021-11-21,2021
1638057600,11936,-702,2021-11-28,2021
1638662400,234,-153,2021-12-05,2021
1639267200,213,-77,2021-12-12,2021
1639872000,79,-1,2021-12-19,2021
1640476800,0,0,2021-12-26,2021
1641081600,0,0,2022-01-02,2022
1641686400,0,0,2022-01-09,2022
1642291200,0,0,2022-01-16,2022
1642896000,135,-22,2022-01-23,2022
1643500800,0,0,2022-01-30,2022
1644105600,0,0,2022-02-06,2022
1644710400,829,-11490,2022-02-13,2022
1645315200,340,-117,2022-02-20,2022
1645920000,473,-152,2022-02-27,2022
1646524800,11082,-75,2022-03-06,2022
1647129600,449,-21,2022-03-13,2022
1647734400,770,-159,2022-03-20,2022
1648339200,975,-156,2022-03-27,2022
1648944000,192,-124,2022-04-03,2022
1649548800,304,-88,2022-04-10,2022
