Weeks,Adds,Subs,Year,Date
1546732800,41328,-24154,2019,2019-01-06
1547337600,62289,-62185,2019,2019-01-13
1547942400,93915,-43697,2019,2019-01-20
1548547200,68611,-35970,2019,2019-01-27
1549152000,74541,-35071,2019,2019-02-03
1549756800,114107,-41814,2019,2019-02-10
1550361600,71092,-24829,2019,2019-02-17
1550966400,44537,-16584,2019,2019-02-24
1551571200,407483,-21320,2019,2019-03-03
1552176000,45101,-39781,2019,2019-03-10
1552780800,124021,-26918,2019,2019-03-17
1553385600,64920,-38359,2019,2019-03-24
1553990400,69387,-33272,2019,2019-03-31
1554595200,73442,-42132,2019,2019-04-07
1555200000,137135,-180980,2019,2019-04-14
1555804800,149466,-65118,2019,2019-04-21
1556409600,65239,-156658,2019,2019-04-28
1557014400,58242,-35295,2019,2019-05-05
1557619200,49166,-23794,2019,2019-05-12
1558224000,73658,-53804,2019,2019-05-19
1558828800,108036,-142759,2019,2019-05-26
1559433600,81167,-65559,2019,2019-06-02
1560038400,202705,-196817,2019,2019-06-09
1560643200,114391,-58072,2019,2019-06-16
1561248000,83774,-59139,2019,2019-06-23
1561852800,64631,-47894,2019,2019-06-30
1562457600,61126,-32982,2019,2019-07-07
1563062400,29131,-19443,2019,2019-07-14
1563667200,209163,-104894,2019,2019-07-21
1564272000,73491,-39151,2019,2019-07-28
1564876800,88993,-80537,2019,2019-08-04
1565481600,68487,-72025,2019,2019-08-11
1566086400,79767,-31837,2019,2019-08-18
1566691200,80592,-43396,2019,2019-08-25
1567296000,91751,-62209,2019,2019-09-01
1567900800,45741,-20320,2019,2019-09-08
1568505600,43904,-16881,2019,2019-09-15
1569110400,40979,-15398,2019,2019-09-22
1569715200,53471,-37402,2019,2019-09-29
1570320000,49273,-25924,2019,2019-10-06
1570924800,73993,-38994,2019,2019-10-13
1571529600,352536,-40812,2019,2019-10-20
1572134400,67309,-34720,2019,2019-10-27
1572739200,119546,-56567,2019,2019-11-03
1573344000,80485,-38379,2019,2019-11-10
1573948800,110218,-41494,2019,2019-11-17
1574553600,33295,-16438,2019,2019-11-24
1575158400,53799,-29738,2019,2019-12-01
1575763200,80499,-83585,2019,2019-12-08
1576368000,81166,-35558,2019,2019-12-15
1576972800,38154,-10042,2019,2019-12-22
1577577600,33346,-22635,2019,2019-12-29
1578182400,90439,-44365,2020,2020-01-05
1578787200,75107,-27283,2020,2020-01-12
1579392000,62556,-31739,2020,2020-01-19
1579996800,47598,-22409,2020,2020-01-26
1580601600,43954,-19426,2020,2020-02-02
1581206400,82334,-83975,2020,2020-02-09
1581811200,73718,-38054,2020,2020-02-16
1582416000,66034,-38845,2020,2020-02-23
1583020800,297996,-145527,2020,2020-03-01
1583625600,89833,-60503,2020,2020-03-08
1584230400,54506,-24045,2020,2020-03-15
1584835200,116109,-66237,2020,2020-03-22
1585440000,55236,-27154,2020,2020-03-29
1586044800,35491,-18833,2020,2020-04-05
1586649600,94981,-65587,2020,2020-04-12
1587254400,293996,-86720,2020,2020-04-19
1587859200,278217,-265407,2020,2020-04-26
1588464000,139796,-27743,2020,2020-05-03
1589068800,139876,-59746,2020,2020-05-10
1589673600,90389,-40251,2020,2020-05-17
1590278400,78709,-40690,2020,2020-05-24
1590883200,42559,-28918,2020,2020-05-31
1591488000,63602,-62206,2020,2020-06-07
1592092800,64752,-31062,2020,2020-06-14
1592697600,91999,-64954,2020,2020-06-21
1593302400,79512,-40334,2020,2020-06-28
1593907200,66102,-30061,2020,2020-07-05
1594512000,78773,-41733,2020,2020-07-12
1595116800,99659,-50898,2020,2020-07-19
1595721600,58732,-32046,2020,2020-07-26
1596326400,41048,-21320,2020,2020-08-02
1596931200,167658,-151021,2020,2020-08-09
1597536000,84521,-35870,2020,2020-08-16
1598140800,68064,-43300,2020,2020-08-23
1598745600,47781,-43838,2020,2020-08-30
1599350400,200766,-167218,2020,2020-09-06
1599955200,96329,-49230,2020,2020-09-13
1600560000,83447,-37893,2020,2020-09-20
1601164800,93383,-40403,2020,2020-09-27
1601769600,60945,-41308,2020,2020-10-04
1602374400,44958,-17859,2020,2020-10-11
1602979200,33443,-14756,2020,2020-10-18
1603584000,74188,-65689,2020,2020-10-25
1604188800,372505,-53882,2020,2020-11-01
1604793600,60287,-35849,2020,2020-11-08
1605398400,73145,-38232,2020,2020-11-15
1606003200,49031,-25591,2020,2020-11-22
1606608000,67591,-31988,2020,2020-11-29
1607212800,198444,-60424,2020,2020-12-06
1607817600,58044,-25677,2020,2020-12-13
1608422400,35754,-10637,2020,2020-12-20
1609027200,17750,-5751,2020,2020-12-27
1609632000,41452,-26624,2021,2021-01-03
1610236800,70848,-51865,2021,2021-01-10
1610841600,64659,-98223,2021,2021-01-17
1611446400,80316,-42535,2021,2021-01-24
1612051200,65979,-38919,2021,2021-01-31
1612656000,83606,-27340,2021,2021-02-07
1613260800,35137,-14240,2021,2021-02-14
1613865600,36414,-16307,2021,2021-02-21
1614470400,56189,-41925,2021,2021-02-28
1615075200,85141,-37740,2021,2021-03-07
1615680000,158783,-58982,2021,2021-03-14
1616284800,64440,-31172,2021,2021-03-21
1616889600,55680,-31826,2021,2021-03-28
1617494400,53353,-26488,2021,2021-04-04
1618099200,204571,-159916,2021,2021-04-11
1618704000,51417,-18141,2021,2021-04-18
1619308800,53565,-39025,2021,2021-04-25
1619913600,41117,-23471,2021,2021-05-02
1620518400,40951,-18764,2021,2021-05-09
1621123200,83274,-27723,2021,2021-05-16
1621728000,64849,-41893,2021,2021-05-23
1622332800,151471,-76438,2021,2021-05-30
1622937600,84431,-35426,2021,2021-06-06
1623542400,91297,-86410,2021,2021-06-13
1624147200,98701,-58060,2021,2021-06-20
1624752000,41064,-20864,2021,2021-06-27
1625356800,24232,-12776,2021,2021-07-04
1625961600,55599,-39340,2021,2021-07-11
1626566400,60216,-26365,2021,2021-07-18
1627171200,155443,-76575,2021,2021-07-25
1627776000,80778,-35168,2021,2021-08-01
1628380800,88553,-52122,2021,2021-08-08
1628985600,90049,-44123,2021,2021-08-15
1629590400,37043,-32975,2021,2021-08-22
1630195200,47534,-19832,2021,2021-08-29
1630800000,42559,-18678,2021,2021-09-05
1631404800,80239,-34290,2021,2021-09-12
1632009600,96385,-37529,2021,2021-09-19
1632614400,58881,-28066,2021,2021-09-26
1633219200,70795,-38590,2021,2021-10-03
1633824000,155729,-33123,2021,2021-10-10
1634428800,70151,-43135,2021,2021-10-17
1635033600,61330,-32532,2021,2021-10-24
1635638400,50210,-38540,2021,2021-10-31
1636243200,32140,-22988,2021,2021-11-07
1636848000,107484,-72330,2021,2021-11-14
1637452800,45845,-18559,2021,2021-11-21
1638057600,74065,-29166,2021,2021-11-28
1638662400,84722,-35736,2021,2021-12-05
1639267200,69982,-26570,2021,2021-12-12
1639872000,35889,-22301,2021,2021-12-19
1640476800,12160,-6662,2021,2021-12-26
1641081600,38064,-27504,2022,2022-01-02
1641686400,56520,-29191,2022,2022-01-09
1642291200,41751,-30183,2022,2022-01-16
1642896000,477374,-31759,2022,2022-01-23
1643500800,42796,-20730,2022,2022-01-30
1644105600,48407,-28867,2022,2022-02-06
1644710400,45484,-24839,2022,2022-02-13
1645315200,88884,-40564,2022,2022-02-20
1645920000,37003,-33480,2022,2022-02-27
1646524800,77880,-57954,2022,2022-03-06
1647129600,183368,-169923,2022,2022-03-13
1647734400,15944,-8091,2022,2022-03-20
