Weeks,Adds,Subs,Year,Date
1546732800,1131466,-23440,2019,2019-01-06
1547337600,277604,-379292,2019,2019-01-13
1547942400,68509,-58581,2019,2019-01-20
1548547200,1039340,-1038644,2019,2019-01-27
1549152000,15542,-11800,2019,2019-02-03
1549756800,12614,-12633,2019,2019-02-10
1550361600,16894,-9915,2019,2019-02-17
1550966400,15247,-8687,2019,2019-02-24
1551571200,14211,-7186,2019,2019-03-03
1552176000,196973,-84518,2019,2019-03-10
1552780800,17119,-811591,2019,2019-03-17
1553385600,24096,-6041,2019,2019-03-24
1553990400,139537,-6673,2019,2019-03-31
1554595200,15726,-84741,2019,2019-04-07
1555200000,10969,-5505,2019,2019-04-14
1555804800,162758,-48104,2019,2019-04-21
1556409600,12852,-7992,2019,2019-04-28
1557014400,20037,-18520,2019,2019-05-05
1557619200,32063,-21863,2019,2019-05-12
1558224000,928450,-916457,2019,2019-05-19
1558828800,12236,-4428,2019,2019-05-26
1559433600,413574,-9465,2019,2019-06-02
1560038400,22008,-18858,2019,2019-06-09
1560643200,25846,-21220,2019,2019-06-16
1561248000,11363,-7520,2019,2019-06-23
1561852800,6846,-7266,2019,2019-06-30
1562457600,208742,-115856,2019,2019-07-07
1563062400,140815,-136099,2019,2019-07-14
1563667200,202175,-204165,2019,2019-07-21
1564272000,6589,-5709,2019,2019-07-28
1564876800,7482,-6126,2019,2019-08-04
1565481600,66033,-62268,2019,2019-08-11
1566086400,142402,-149415,2019,2019-08-18
1566691200,4391,-2873,2019,2019-08-25
1567296000,8212,-5310,2019,2019-09-01
1567900800,19246,-5429,2019,2019-09-08
1568505600,5547,-4893,2019,2019-09-15
1569110400,11902,-6233,2019,2019-09-22
1569715200,29995,-27580,2019,2019-09-29
1570320000,173264,-157641,2019,2019-10-06
1570924800,14604,-10977,2019,2019-10-13
1571529600,8260,-7224,2019,2019-10-20
1572134400,20415,-22698,2019,2019-10-27
1572739200,42150,-6088,2019,2019-11-03
1573344000,18576,-12639,2019,2019-11-10
1573948800,13104,-8756,2019,2019-11-17
1574553600,75241,-65078,2019,2019-11-24
1575158400,15961,-9076,2019,2019-12-01
1575763200,19833,-17303,2019,2019-12-08
1576368000,76272,-64186,2019,2019-12-15
