Weeks,Adds,Subs,Year,Date
1580601600,9847,-7786,2020,2020-02-02
1581206400,13549,-10213,2020,2020-02-09
1581811200,8296,-7308,2020,2020-02-16
1582416000,7530,-4554,2020,2020-02-23
1583020800,11295,-12380,2020,2020-03-01
1583625600,20046,-17739,2020,2020-03-08
1584230400,22866,-20754,2020,2020-03-15
1584835200,40799,-15924,2020,2020-03-22
1585440000,84338,-54516,2020,2020-03-29
1586044800,100959,-80795,2020,2020-04-05
1586649600,111736,-93231,2020,2020-04-12
1587254400,70216,-51085,2020,2020-04-19
1587859200,73830,-51211,2020,2020-04-26
1588464000,88206,-65273,2020,2020-05-03
1589068800,77742,-54501,2020,2020-05-10
1589673600,82451,-58460,2020,2020-05-17
1590278400,79641,-54973,2020,2020-05-24
1590883200,83842,-58064,2020,2020-05-31
1591488000,122877,-96650,2020,2020-06-07
1592092800,99093,-72412,2020,2020-06-14
1592697600,124767,-97948,2020,2020-06-21
1593302400,132795,-106084,2020,2020-06-28
1593907200,78792,-51735,2020,2020-07-05
1594512000,117971,-90456,2020,2020-07-12
1595116800,99833,-71903,2020,2020-07-19
1595721600,80923,-52925,2020,2020-07-26
1596326400,94749,-66700,2020,2020-08-02
1596931200,84265,-56218,2020,2020-08-09
1597536000,96334,-68233,2020,2020-08-16
1598140800,91069,-62994,2020,2020-08-23
1598745600,94848,-66732,2020,2020-08-30
1599350400,87630,-59516,2020,2020-09-06
1599955200,122455,-94350,2020,2020-09-13
1600560000,117512,-89404,2020,2020-09-20
1601164800,205512,-177399,2020,2020-09-27
1601769600,117606,-89488,2020,2020-10-04
1602374400,118071,-89946,2020,2020-10-11
1602979200,80748,-52615,2020,2020-10-18
1603584000,171722,-143545,2020,2020-10-25
1604188800,152946,-124699,2020,2020-11-01
1604793600,149686,-121437,2020,2020-11-08
1605398400,145641,-117394,2020,2020-11-15
1606003200,97011,-68499,2020,2020-11-22
1606608000,113560,-85271,2020,2020-11-29
1607212800,99918,-71633,2020,2020-12-06
1607817600,103036,-74762,2020,2020-12-13
1608422400,80708,-52450,2020,2020-12-20
1609027200,81571,-53304,2020,2020-12-27
1609632000,93313,-65050,2021,2021-01-03
1610236800,137372,-108864,2021,2021-01-10
1610841600,98849,-70486,2021,2021-01-17
1611446400,91151,-62868,2021,2021-01-24
1612051200,118201,-89912,2021,2021-01-31
1612656000,107388,-79099,2021,2021-02-07
1613260800,105758,-77449,2021,2021-02-14
1613865600,94008,-65350,2021,2021-02-21
1614470400,132980,-104442,2021,2021-02-28
1615075200,118879,-90562,2021,2021-03-07
1615680000,90625,-62322,2021,2021-03-14
1616284800,163216,-121789,2021,2021-03-21
1616889600,108081,-77134,2021,2021-03-28
1617494400,106546,-78039,2021,2021-04-04
1618099200,91694,-62832,2021,2021-04-11
1618704000,90895,-61362,2021,2021-04-18
1619308800,89903,-61386,2021,2021-04-25
1619913600,89393,-60961,2021,2021-05-02
1620518400,149470,-100919,2021,2021-05-09
1621123200,120739,-84243,2021,2021-05-16
1621728000,87567,-58674,2021,2021-05-23
1622332800,92009,-62816,2021,2021-05-30
1622937600,97233,-68793,2021,2021-06-06
1623542400,86652,-57237,2021,2021-06-13
1624147200,86800,-57768,2021,2021-06-20
1624752000,87659,-59297,2021,2021-06-27
1625356800,85800,-57420,2021,2021-07-04
1625961600,84730,-56162,2021,2021-07-11
1626566400,83989,-55425,2021,2021-07-18
1627171200,84970,-56318,2021,2021-07-25
1627776000,85613,-56600,2021,2021-08-01
1628380800,88928,-60598,2021,2021-08-08
1628985600,90773,-62346,2021,2021-08-15
1629590400,103664,-74151,2021,2021-08-22
1630195200,102507,-70720,2021,2021-08-29
1630800000,87202,-58210,2021,2021-09-05
1631404800,111017,-82036,2021,2021-09-12
1632009600,128885,-90707,2021,2021-09-19
1632614400,114581,-85170,2021,2021-09-26
1633219200,98111,-67216,2021,2021-10-03
1633824000,114078,-84713,2021,2021-10-10
1634428800,140765,-112101,2021,2021-10-17
1635033600,109924,-81184,2021,2021-10-24
1635638400,151519,-122313,2021,2021-10-31
1636243200,110257,-81781,2021,2021-11-07
1636848000,163794,-135325,2021,2021-11-14
1637452800,81312,-52828,2021,2021-11-21
1638057600,96538,-67748,2021,2021-11-28
1638662400,1104891,-1076314,2021,2021-12-05
1639267200,86152,-57608,2021,2021-12-12
1639872000,147424,-118906,2021,2021-12-19
1640476800,119662,-91189,2021,2021-12-26
1641081600,105334,-76695,2022,2022-01-02
1641686400,149744,-121161,2022,2022-01-09
1642291200,415375,-386606,2022,2022-01-16
1642896000,155945,-127258,2022,2022-01-23
1643500800,150262,-121767,2022,2022-01-30
1644105600,160662,-130678,2022,2022-02-06
1644710400,145946,-115847,2022,2022-02-13
1645315200,120424,-91617,2022,2022-02-20
1645920000,126064,-97225,2022,2022-02-27
1646524800,220223,-191616,2022,2022-03-06
1647129600,138950,-110119,2022,2022-03-13
1647734400,82266,-53654,2022,2022-03-20
1648339200,157552,-128924,2022,2022-03-27
1648944000,163345,-134726,2022,2022-04-03
1649548800,138628,-118258,2022,2022-04-10
