Week,Adds,Subs,Year,Date
1546732800,1047,-647,2019,2019-01-06
1547337600,13320,-11079,2019,2019-01-13
1547942400,3383,-1545,2019,2019-01-20
1548547200,2111,-1030,2019,2019-01-27
1549152000,4918,-3929,2019,2019-02-03
1549756800,20673,-16056,2019,2019-02-10
1550361600,10635,-7167,2019,2019-02-17
1550966400,12929,-9681,2019,2019-02-24
1551571200,12704,-4494,2019,2019-03-03
1552176000,2774,-1993,2019,2019-03-10
1552780800,3697,-1814,2019,2019-03-17
1553385600,3155,-2173,2019,2019-03-24
1553990400,4648,-2267,2019,2019-03-31
1554595200,1699,-1048,2019,2019-04-07
1555200000,1403,-490,2019,2019-04-14
1555804800,5353,-1297,2019,2019-04-21
1556409600,4427,-941,2019,2019-04-28
1557014400,5775,-2201,2019,2019-05-05
1557619200,6794,-2295,2019,2019-05-12
1558224000,5520,-5114,2019,2019-05-19
1558828800,1556,-882,2019,2019-05-26
1559433600,2665,-1347,2019,2019-06-02
1560038400,16454,-12371,2019,2019-06-09
1560643200,48333,-43204,2019,2019-06-16
1561248000,4874,-1606,2019,2019-06-23
1561852800,2720,-1222,2019,2019-06-30
1562457600,1328,-1407,2019,2019-07-07
1563062400,5883,-1671,2019,2019-07-14
1563667200,17577,-29531,2019,2019-07-21
1564272000,6224,-1167,2019,2019-07-28
1564876800,4750,-1951,2019,2019-08-04
1565481600,10969,-7935,2019,2019-08-11
1566086400,3798,-1820,2019,2019-08-18
1566691200,46455,-1022683,2019,2019-08-25
1567296000,1036,-1529,2019,2019-09-01
1567900800,704,-106,2019,2019-09-08
1568505600,8991,-10214,2019,2019-09-15
1569110400,386,-301,2019,2019-09-22
1569715200,2852,-922,2019,2019-09-29
1570320000,1359,-67293,2019,2019-10-06
1570924800,7068,-5338,2019,2019-10-13
1571529600,2765,-1835,2019,2019-10-20
1572134400,320,-1236,2019,2019-10-27
1572739200,156229,-2464,2019,2019-11-03
1573344000,977,-354,2019,2019-11-10
1573948800,1350,-1292,2019,2019-11-17
1574553600,2989,-1696,2019,2019-11-24
1575158400,16985,-914,2019,2019-12-01
1575763200,157208,-155964,2019,2019-12-08
1576368000,2100,-1565,2019,2019-12-15
1576972800,1856,-1178,2019,2019-12-22
1577577600,820,-588,2019,2019-12-29
1578182400,379,-840,2020,2020-01-05
1578787200,216,-144,2020,2020-01-12
1579392000,207,-80,2020,2020-01-19
1579996800,19275,-19275,2020,2020-01-26
1580601600,3432,-790,2020,2020-02-02
1581206400,3462,-1769,2020,2020-02-09
1581811200,5856,-4431,2020,2020-02-16
1582416000,112582,-63466,2020,2020-02-23
1583020800,1397,-594,2020,2020-03-01
1583625600,2030,-437,2020,2020-03-08
1584230400,23062,-24221,2020,2020-03-15
1584835200,3213,-2530,2020,2020-03-22
1585440000,8940,-16365,2020,2020-03-29
1586044800,52727,-5823,2020,2020-04-05
1586649600,588,-301,2020,2020-04-12
1587254400,13097,-9812,2020,2020-04-19
1587859200,5663,-1664,2020,2020-04-26
1588464000,1796,-742,2020,2020-05-03
1589068800,9458,-8184,2020,2020-05-10
1589673600,1810,-540,2020,2020-05-17
1590278400,4064,-2587,2020,2020-05-24
1590883200,1675,-811,2020,2020-05-31
1591488000,2106,-1748,2020,2020-06-07
1592092800,5000,-5261,2020,2020-06-14
1592697600,1262,-3561,2020,2020-06-21
1593302400,1361,-712,2020,2020-06-28
1593907200,380,-243,2020,2020-07-05
1594512000,1576,-2306,2020,2020-07-12
1595116800,7517,-168,2020,2020-07-19
1595721600,3822,-3265,2020,2020-07-26
1596326400,7667,-2559,2020,2020-08-02
1596931200,60695,-52299,2020,2020-08-09
1597536000,3466,-3331,2020,2020-08-16
1598140800,139580,-139199,2020,2020-08-23
1598745600,14043,-2851,2020,2020-08-30
1599350400,7768,-2427,2020,2020-09-06
1599955200,22484,-13483,2020,2020-09-13
1600560000,5898,-22211,2020,2020-09-20
1601164800,450713,-764125,2020,2020-09-27
1601769600,4874,-4449,2020,2020-10-04
1602374400,4660,-8736,2020,2020-10-11
1602979200,55077,-45957,2020,2020-10-18
1603584000,17705,-8391,2020,2020-10-25
1604188800,3286,-12022,2020,2020-11-01
1604793600,4326,-2151,2020,2020-11-08
1605398400,1096,-1142,2020,2020-11-15
1606003200,116246,-115743,2020,2020-11-22
1606608000,4873,-253,2020,2020-11-29
1607212800,64,-193,2020,2020-12-06
1607817600,72300,-88778,2020,2020-12-13
1608422400,44774,-47617,2020,2020-12-20
1609027200,3973,-3693,2020,2020-12-27
1609632000,3630,-3475,2021,2021-01-03
1610236800,64541,-13687,2021,2021-01-10
1610841600,1378,-1131,2021,2021-01-17
1611446400,17626,-109094,2021,2021-01-24
1612051200,200852,-49908,2021,2021-01-31
1612656000,8867,-4529,2021,2021-02-07
1613260800,6423,-5398,2021,2021-02-14
1613865600,134752,-64096,2021,2021-02-21
1614470400,28687,-14558,2021,2021-02-28
1615075200,24367,-48507,2021,2021-03-07
1615680000,7946,-5130,2021,2021-03-14
1616284800,53841,-91758,2021,2021-03-21
1616889600,7698,-4840,2021,2021-03-28
1617494400,1336,-769,2021,2021-04-04
1618099200,1853,-23125,2021,2021-04-11
1618704000,1353,-1184,2021,2021-04-18
1619308800,1362,-1206,2021,2021-04-25
1619913600,172755,-20605,2021,2021-05-02
1620518400,20129,-8237,2021,2021-05-09
1621123200,22675,-64475,2021,2021-05-16
