Weeks,Adds,Subs,Date,Year
1546732800,114,-120,2019-01-06,2019
1547337600,119,-9,2019-01-13,2019
1547942400,468,-468,2019-01-20,2019
1548547200,0,0,2019-01-27,2019
1549152000,199,-86,2019-02-03,2019
1549756800,314,-29,2019-02-10,2019
1550361600,265,-7,2019-02-17,2019
1550966400,2483,-2343,2019-02-24,2019
1551571200,11,-10,2019-03-03,2019
1552176000,1,-1,2019-03-10,2019
1552780800,48,0,2019-03-17,2019
1553385600,140,-11,2019-03-24,2019
1553990400,163,0,2019-03-31,2019
1554595200,119,-8,2019-04-07,2019
1555200000,105,-91,2019-04-14,2019
1555804800,2770,-2575,2019-04-21,2019
1556409600,52,0,2019-04-28,2019
1557014400,87,-21,2019-05-05,2019
1557619200,559,-89,2019-05-12,2019
1558224000,514,-360,2019-05-19,2019
1558828800,2161,-2094,2019-05-26,2019
1559433600,587,-146,2019-06-02,2019
1560038400,951,-950,2019-06-09,2019
1560643200,562,-34,2019-06-16,2019
1561248000,77,-12,2019-06-23,2019
1561852800,4011,-2970,2019-06-30,2019
1562457600,8965,-2607,2019-07-07,2019
1563062400,3941,-1872,2019-07-14,2019
1563667200,1353,-1024,2019-07-21,2019
1564272000,7888,-7686,2019-07-28,2019
1564876800,1522,-1294,2019-08-04,2019
1565481600,1576,-294,2019-08-11,2019
1566086400,587,-1029,2019-08-18,2019
1566691200,191,-3,2019-08-25,2019
1567296000,1424,-559,2019-09-01,2019
1567900800,643,-51,2019-09-08,2019
1568505600,530,-5,2019-09-15,2019
1569110400,436,-55,2019-09-22,2019
1569715200,7437,-4830,2019-09-29,2019
1570320000,1079,-435,2019-10-06,2019
1570924800,1244,-395,2019-10-13,2019
1571529600,2352,-4906,2019-10-20,2019
1572134400,3074,-274,2019-10-27,2019
1572739200,245,-26,2019-11-03,2019
1573344000,1373,-6719,2019-11-10,2019
1573948800,1059,-552,2019-11-17,2019
1574553600,550,-48,2019-11-24,2019
1575158400,1216,-144,2019-12-01,2019
1575763200,393,-91,2019-12-08,2019
1576368000,668,-852,2019-12-15,2019
1576972800,212,-134,2019-12-22,2019
1577577600,333,-128,2019-12-29,2019
1578182400,1431,-157,2020-01-05,2020
1578787200,1367,-707,2020-01-12,2020
1579392000,448,-38,2020-01-19,2020
1579996800,175,-2,2020-01-26,2020
1580601600,299,-47,2020-02-02,2020
1581206400,396,-68,2020-02-09,2020
1581811200,307,-74,2020-02-16,2020
1582416000,1301,-1042,2020-02-23,2020
1583020800,789,-346,2020-03-01,2020
1583625600,202,-31,2020-03-08,2020
1584230400,62,-5,2020-03-15,2020
1584835200,126,-50,2020-03-22,2020
1585440000,3,-5,2020-03-29,2020
1586044800,679,-73,2020-04-05,2020
1586649600,335,-156,2020-04-12,2020
1587254400,60,-32,2020-04-19,2020
1587859200,822,-104,2020-04-26,2020
1588464000,2723,-121,2020-05-03,2020
1589068800,583,-121,2020-05-10,2020
1589673600,1644,-670,2020-05-17,2020
1590278400,369,-46,2020-05-24,2020
1590883200,241,-41,2020-05-31,2020
1591488000,488,-50,2020-06-07,2020
1592092800,1893,-373,2020-06-14,2020
1592697600,1057,-321,2020-06-21,2020
1593302400,428,-267,2020-06-28,2020
1593907200,797,-259,2020-07-05,2020
1594512000,141,-9,2020-07-12,2020
1595116800,482,-37,2020-07-19,2020
1595721600,863,-285,2020-07-26,2020
1596326400,321,-115,2020-08-02,2020
1596931200,373,-51,2020-08-09,2020
1597536000,853,-116,2020-08-16,2020
1598140800,861,-175,2020-08-23,2020
1598745600,138,-48,2020-08-30,2020
1599350400,1121,-930,2020-09-06,2020
1599955200,1109,-506,2020-09-13,2020
1600560000,2782,-655,2020-09-20,2020
1601164800,3943,-248,2020-09-27,2020
1601769600,2057,-793,2020-10-04,2020
1602374400,12401,-11834,2020-10-11,2020
1602979200,2200,-1019,2020-10-18,2020
1603584000,1634,-613,2020-10-25,2020
1604188800,819,-63,2020-11-01,2020
