Weeks,Adds,Subs,Year,Date
1546732800,5,-8,2019,2019-01-06
1547337600,25,-2,2019,2019-01-13
1547942400,2,-6,2019,2019-01-20
1548547200,17,-7,2019,2019-01-27
1549152000,8,-10,2019,2019-02-03
1549756800,2,-2,2019,2019-02-10
1550361600,1,-1,2019,2019-02-17
1550966400,1251,-234,2019,2019-02-24
1551571200,0,0,2019,2019-03-03
1552176000,194,-13,2019,2019-03-10
1552780800,437,-36,2019,2019-03-17
1553385600,2,0,2019,2019-03-24
1553990400,32,-11,2019,2019-03-31
1554595200,0,0,2019,2019-04-07
1555200000,7,-6,2019,2019-04-14
1555804800,342,-104,2019,2019-04-21
1556409600,0,0,2019,2019-04-28
1557014400,5592,-3381,2019,2019-05-05
1557619200,2916,-207,2019,2019-05-12
1558224000,13424,-6508,2019,2019-05-19
1558828800,629,-50,2019,2019-05-26
1559433600,1355,-104,2019,2019-06-02
1560038400,0,0,2019,2019-06-09
1560643200,335,-442,2019,2019-06-16
1561248000,0,0,2019,2019-06-23
1561852800,0,0,2019,2019-06-30
1562457600,0,0,2019,2019-07-07
1563062400,52,-56,2019,2019-07-14
1563667200,0,0,2019,2019-07-21
1564272000,0,0,2019,2019-07-28
1564876800,0,0,2019,2019-08-04
1565481600,0,0,2019,2019-08-11
1566086400,0,0,2019,2019-08-18
1566691200,0,0,2019,2019-08-25
1567296000,0,0,2019,2019-09-01
1567900800,0,0,2019,2019-09-08
1568505600,127416,-142935,2019,2019-09-15
1569110400,1517,-4618,2019,2019-09-22
1569715200,77,-97,2019,2019-09-29
1570320000,7780,-1476,2019,2019-10-06
1570924800,44,-5,2019,2019-10-13
1571529600,213,-143,2019,2019-10-20
1572134400,142,-242,2019,2019-10-27
1572739200,2322,-800,2019,2019-11-03
1573344000,6,-6,2019,2019-11-10
1573948800,0,0,2019,2019-11-17
1574553600,0,0,2019,2019-11-24
1575158400,607,-15,2019,2019-12-01
1575763200,1205,-378,2019,2019-12-08
1576368000,0,0,2019,2019-12-15
1576972800,0,0,2019,2019-12-22
1577577600,0,0,2019,2019-12-29
1578182400,15,-11,2020,2020-01-05
1578787200,47,-43,2020,2020-01-12
1579392000,496,-159,2020,2020-01-19
1579996800,4346,-636,2020,2020-01-26
1580601600,1884,-562,2020,2020-02-02
1581206400,3560,-1919,2020,2020-02-09
1581811200,0,0,2020,2020-02-16
1582416000,370,-205,2020,2020-02-23
1583020800,2119,-710,2020,2020-03-01
1583625600,3600,-1532,2020,2020-03-08
1584230400,141,-64,2020,2020-03-15
1584835200,70,-3,2020,2020-03-22
1585440000,156,-59,2020,2020-03-29
1586044800,21,-6,2020,2020-04-05
1586649600,0,0,2020,2020-04-12
1587254400,117,-123,2020,2020-04-19
1587859200,2609,-1331,2020,2020-04-26
1588464000,0,0,2020,2020-05-03
1589068800,2197,-246,2020,2020-05-10
1589673600,33,-23,2020,2020-05-17
1590278400,50,-13,2020,2020-05-24
1590883200,37,-11,2020,2020-05-31
1591488000,958,-204,2020,2020-06-07
1592092800,9924,-7302,2020,2020-06-14
1592697600,0,0,2020,2020-06-21
1593302400,0,0,2020,2020-06-28
1593907200,0,0,2020,2020-07-05
1594512000,0,0,2020,2020-07-12
1595116800,1002,-987,2020,2020-07-19
1595721600,3689,-3034,2020,2020-07-26
1596326400,3,-3,2020,2020-08-02
1596931200,332,-268,2020,2020-08-09
