Weeks,Adds,Subs,Date,NewDate
1546732800,29239,-26721,2019,2019-01-06
1547337600,82118,-77959,2019,2019-01-13
1547942400,146211,-143448,2019,2019-01-20
1548547200,18925,-27157,2019,2019-01-27
1549152000,12930,-10013,2019,2019-02-03
1549756800,10781,-11110,2019,2019-02-10
1550361600,20378,-31457,2019,2019-02-17
1550966400,46140,-53343,2019,2019-02-24
1551571200,117110,-96660,2019,2019-03-03
1552176000,15471,-12885,2019,2019-03-10
1552780800,12480,-10792,2019,2019-03-17
1553385600,52630,-51600,2019,2019-03-24
1553990400,24168,-22935,2019,2019-03-31
1554595200,8601,-7566,2019,2019-04-07
1555200000,13059,-10899,2019,2019-04-14
1555804800,14295,-11111,2019,2019-04-21
1556409600,4758,-3510,2019,2019-04-28
1557014400,11321,-19202,2019,2019-05-05
1557619200,12697,-19183,2019,2019-05-12
1558224000,40347,-45847,2019,2019-05-19
1558828800,10974,-8628,2019,2019-05-26
1559433600,7918,-4833,2019,2019-06-02
1560038400,7748,-8890,2019,2019-06-09
1560643200,31928,-4107,2019,2019-06-16
1561248000,29103,-36900,2019,2019-06-23
1561852800,11183,-13780,2019,2019-06-30
1562457600,19575,-12955,2019,2019-07-07
1563062400,5476,-2718,2019,2019-07-14
1563667200,5854,-3349,2019,2019-07-21
1564272000,7210,-7655,2019,2019-07-28
1564876800,18406,-16086,2019,2019-08-04
1565481600,50436,-48303,2019,2019-08-11
1566086400,12357,-14274,2019,2019-08-18
1566691200,10613,-6299,2019,2019-08-25
1567296000,16627,-14772,2019,2019-09-01
1567900800,10691,-4123,2019,2019-09-08
1568505600,12899,-10335,2019,2019-09-15
1569110400,12995,-9516,2019,2019-09-22
1569715200,5244,-4907,2019,2019-09-29
1570320000,7402,-5066,2019,2019-10-06
1570924800,14577,-11040,2019,2019-10-13
1571529600,10659,-8066,2019,2019-10-20
1572134400,8585,-7446,2019,2019-10-27
1572739200,6431,-3438,2019,2019-11-03
1573344000,5164,-4380,2019,2019-11-10
1573948800,5312,-3401,2019,2019-11-17
1574553600,8122,-6466,2019,2019-11-24
1575158400,52442,-50982,2019,2019-12-01
1575763200,39599,-16660,2019,2019-12-08
1576368000,18551,-15537,2019,2019-12-15
1576972800,3069,-1948,2019,2019-12-22
1577577600,7753,-7356,2019,2019-12-29
1578182400,4553,-4818,2020,2020-01-05
1578787200,26208,-6243,2020,2020-01-12
1579392000,10119,-8791,2020,2020-01-19
1579996800,9211,-7086,2020,2020-01-26
1580601600,16010,-13273,2020,2020-02-02
1581206400,5703,-3114,2020,2020-02-09
1581811200,7494,-3204,2020,2020-02-16
1582416000,13300,-6552,2020,2020-02-23
1583020800,14765,-11148,2020,2020-03-01
1583625600,9721,-7783,2020,2020-03-08
1584230400,10588,-11186,2020,2020-03-15
1584835200,5963,-3865,2020,2020-03-22
1585440000,6899,-4056,2020,2020-03-29
1586044800,5719,-4800,2020,2020-04-05
1586649600,11792,-2041,2020,2020-04-12
1587254400,15362,-7799,2020,2020-04-19
1587859200,33376,-8853,2020,2020-04-26
1588464000,13017,-6920,2020,2020-05-03
1589068800,6807,-4352,2020,2020-05-10
1589673600,4701,-2025,2020,2020-05-17
1590278400,9009,-4031,2020,2020-05-24
1590883200,8046,-4172,2020,2020-05-31
1591488000,4321,-1571,2020,2020-06-07
1592092800,6708,-2367,2020,2020-06-14
