Weeks,Adds,Subs,Year,Date
1584230400,382759,-8594,2020,2020-03-15
1584835200,21688,-369099,2020,2020-03-22
1585440000,206840,-80742,2020,2020-03-29
1586044800,16767,-42463,2020,2020-04-05
1586649600,149852,-143565,2020,2020-04-12
1587254400,12999,-10171,2020,2020-04-19
1587859200,5490,-3139,2020,2020-04-26
1588464000,44001,-9463,2020,2020-05-03
1589068800,5732,-23121,2020,2020-05-10
1589673600,37917,-40899,2020,2020-05-17
1590278400,2583,-3638,2020,2020-05-24
1590883200,1801,-1587,2020,2020-05-31
1591488000,2394,-2875,2020,2020-06-07
1592092800,129052,-11040,2020,2020-06-14
1592697600,1073,-1902,2020,2020-06-21
1593302400,6423,-4839,2020,2020-06-28
1593907200,1706,-1706,2020,2020-07-05
1594512000,1232,-2077,2020,2020-07-12
1595116800,622,-405,2020,2020-07-19
1595721600,1124,-1061,2020,2020-07-26
1596326400,371,-172,2020,2020-08-02
1596931200,2,-2,2020,2020-08-09
1597536000,0,0,2020,2020-08-16
1598140800,0,0,2020,2020-08-23
1598745600,0,-25,2020,2020-08-30
1599350400,1,-2,2020,2020-09-06
1599955200,0,0,2020,2020-09-13
1600560000,2,-2,2020,2020-09-20
1601164800,66,-66,2020,2020-09-27
1601769600,5,-4,2020,2020-10-04
1602374400,0,0,2020,2020-10-11
1602979200,0,0,2020,2020-10-18
1603584000,0,0,2020,2020-10-25
1604188800,0,0,2020,2020-11-01
1604793600,6887,-8063,2020,2020-11-08
1605398400,891,-384,2020,2020-11-15
1606003200,0,0,2020,2020-11-22
1606608000,0,0,2020,2020-11-29
1607212800,0,0,2020,2020-12-06
1607817600,1,-1,2020,2020-12-13
1608422400,0,0,2020,2020-12-20
1609027200,0,0,2020,2020-12-27
1609632000,0,0,2021,2021-01-03
1610236800,0,0,2021,2021-01-10
1610841600,0,0,2021,2021-01-17
1611446400,47,-1,2021,2021-01-24
1612051200,2392,-1906,2021,2021-01-31
1612656000,0,0,2021,2021-02-07
1613260800,0,0,2021,2021-02-14
1613865600,0,0,2021,2021-02-21
1614470400,0,0,2021,2021-02-28
1615075200,0,0,2021,2021-03-07
1615680000,0,0,2021,2021-03-14
1616284800,0,0,2021,2021-03-21
1616889600,0,0,2021,2021-03-28
1617494400,24430,-1437,2021,2021-04-04
1618099200,15511,-42989,2021,2021-04-11
1618704000,370,-213,2021,2021-04-18
1619308800,11,-3,2021,2021-04-25
1619913600,0,0,2021,2021-05-02
1620518400,42,-8,2021,2021-05-09
1621123200,0,0,2021,2021-05-16
1621728000,1,0,2021,2021-05-23
1622332800,2029,-5421,2021,2021-05-30
1622937600,3960,-2949,2021,2021-06-06
1623542400,303,-127,2021,2021-06-13
1624147200,0,0,2021,2021-06-20
1624752000,0,0,2021,2021-06-27
1625356800,0,0,2021,2021-07-04
1625961600,0,0,2021,2021-07-11
1626566400,0,0,2021,2021-07-18
1627171200,0,0,2021,2021-07-25
1627776000,39,-15,2021,2021-08-01
1628380800,116,-39,2021,2021-08-08
1628985600,8,-5,2021,2021-08-15
1629590400,28,-167,2021,2021-08-22
1630195200,0,0,2021,2021-08-29
1630800000,0,0,2021,2021-09-05
1631404800,0,0,2021,2021-09-12
1632009600,0,0,2021,2021-09-19
1632614400,23,-6,2021,2021-09-26
1633219200,487,-65,2021,2021-10-03
1633824000,6,0,2021,2021-10-10
1634428800,0,0,2021,2021-10-17
1635033600,0,0,2021,2021-10-24
1635638400,3,-3,2021,2021-10-31
1636243200,0,0,2021,2021-11-07
1636848000,0,0,2021,2021-11-14
1637452800,0,0,2021,2021-11-21
1638057600,0,0,2021,2021-11-28
1638662400,0,0,2021,2021-12-05
1639267200,0,0,2021,2021-12-12
1639872000,0,0,2021,2021-12-19
1640476800,0,0,2021,2021-12-26
1641081600,0,0,2022,2022-01-02
1641686400,0,0,2022,2022-01-09
1642291200,0,0,2022,2022-01-16
1642896000,0,0,2022,2022-01-23
1643500800,0,0,2022,2022-01-30
1644105600,0,0,2022,2022-02-06
1644710400,0,0,2022,2022-02-13
1645315200,0,0,2022,2022-02-20
1645920000,0,0,2022,2022-02-27
1646524800,0,0,2022,2022-03-06
1647129600,0,0,2022,2022-03-13
1647734400,0,0,2022,2022-03-20
1648339200,0,0,2022,2022-03-27
1648944000,0,0,2022,2022-04-03
1649548800,0,0,2022,2022-04-10
