Weeks,Adds,Subs,Year,Date
1601164800,17712,-14464,2020,2020-09-27
1601769600,15950,-15942,2020,2020-10-04
1602374400,10878,-10878,2020,2020-10-11
1602979200,10848,-10847,2020,2020-10-18
1603584000,21532,-21531,2020,2020-10-25
1604188800,30110,-30110,2020,2020-11-01
1604793600,30608,-30607,2020,2020-11-08
1605398400,29733,-29723,2020,2020-11-15
1606003200,31232,-31232,2020,2020-11-22
1606608000,29474,-29474,2020,2020-11-29
1607212800,29645,-29644,2020,2020-12-06
1607817600,29196,-29196,2020,2020-12-13
1608422400,27060,-27060,2020,2020-12-20
1609027200,26577,-26577,2020,2020-12-27
1609632000,25205,-25205,2021,2021-01-03
1610236800,23453,-23452,2021,2021-01-10
1610841600,25444,-25447,2021,2021-01-17
1611446400,27216,-27216,2021,2021-01-24
1612051200,27522,-27474,2021,2021-01-31
1612656000,26504,-26497,2021,2021-02-07
1613260800,26343,-26343,2021,2021-02-14
1613865600,27490,-27490,2021,2021-02-21
1614470400,26697,-26697,2021,2021-02-28
1615075200,25822,-25822,2021,2021-03-07
1615680000,27544,-27544,2021,2021-03-14
1616284800,27405,-27405,2021,2021-03-21
1616889600,25602,-25602,2021,2021-03-28
1617494400,26209,-26209,2021,2021-04-04
1618099200,26230,-26230,2021,2021-04-11
1618704000,24633,-24633,2021,2021-04-18
1619308800,26430,-26430,2021,2021-04-25
1619913600,26198,-26198,2021,2021-05-02
1620518400,26177,-26177,2021,2021-05-09
1621123200,24507,-24507,2021,2021-05-16
1621728000,25680,-25679,2021,2021-05-23
1622332800,26643,-26643,2021,2021-05-30
1622937600,24835,-24835,2021,2021-06-06
1623542400,25808,-25807,2021,2021-06-13
1624147200,24034,-24034,2021,2021-06-20
1624752000,23624,-23624,2021,2021-06-27
1625356800,23085,-23085,2021,2021-07-04
1625961600,22573,-22573,2021,2021-07-11
1626566400,21364,-21364,2021,2021-07-18
1627171200,22002,-22002,2021,2021-07-25
1627776000,15702,-15702,2021,2021-08-01
1628380800,16029,-16027,2021,2021-08-08
1628985600,0,0,2021,2021-08-15
1629590400,10722,-8908,2021,2021-08-22
1630195200,22059,-22059,2021,2021-08-29
1630800000,24351,-22545,2021,2021-09-05
1631404800,23834,-23834,2021,2021-09-12
1632009600,23473,-23472,2021,2021-09-19
1632614400,23015,-23015,2021,2021-09-26
1633219200,22846,-22846,2021,2021-10-03
1633824000,21778,-21778,2021,2021-10-10
1634428800,24087,-24087,2021,2021-10-17
1635033600,21269,-21269,2021,2021-10-24
1635638400,22526,-22525,2021,2021-10-31
1636243200,20442,-20442,2021,2021-11-07
1636848000,20897,-20897,2021,2021-11-14
1637452800,19682,-19682,2021,2021-11-21
1638057600,20908,-20908,2021,2021-11-28
1638662400,20959,-20958,2021,2021-12-05
1639267200,20182,-20182,2021,2021-12-12
1639872000,18378,-18378,2021,2021-12-19
1640476800,18428,-18428,2021,2021-12-26
1641081600,18381,-18381,2022,2022-01-02
1641686400,18129,-18129,2022,2022-01-09
1642291200,20000,-20000,2022,2022-01-16
1642896000,18423,-18423,2022,2022-01-23
1643500800,19378,-19378,2022,2022-01-30
1644105600,19847,-19847,2022,2022-02-06
1644710400,19553,-19553,2022,2022-02-13
1645315200,17421,-17421,2022,2022-02-20
1645920000,17783,-17783,2022,2022-02-27
1646524800,18352,-18351,2022,2022-03-06
1647129600,17892,-17892,2022,2022-03-13
1647734400,17418,-17418,2022,2022-03-20
1648339200,2994,-2994,2022,2022-03-27
